Participant #;Task #;Task type;Wrist vibration;Param 1;Param 2;Param 3
1;1;FC;off;4;visual
1;2;FC;off;8;visual
1;3;FC;off;4;tactile
1;4;FC;off;6;visual
1;5;FC;off;8;tactile
1;6;FC;off;6;tactile
1;7;CRT;off;little;none;tactile
1;8;CRT;off;ring;none;tactile
1;9;CRT;off;thumb;tactile;visual
1;10;CRT;off;index;none;visual
1;11;CRT;off;middle;visual;tactile
1;12;CRT;off;ring;tactile;visual
1;13;CRT;off;thumb;visual;tactile
1;14;CRT;off;thumb;none;tactile
1;15;CRT;off;thumb;none;visual
1;16;CRT;off;thumb;visual;visual
1;17;CRT;off;middle;none;visual
1;18;CRT;off;ring;tactile;tactile
1;19;CRT;off;little;visual;tactile
1;20;CRT;off;index;none;tactile
1;21;CRT;off;little;none;visual
1;22;CRT;off;little;tactile;tactile
1;23;CRT;off;index;tactile;tactile
1;24;CRT;off;thumb;tactile;tactile
1;25;CRT;off;index;visual;visual
1;26;CRT;off;ring;none;visual
1;27;CRT;off;middle;tactile;tactile
1;28;CRT;off;ring;visual;tactile
1;29;CRT;off;middle;none;tactile
1;30;CRT;off;index;visual;tactile
1;31;CRT;off;middle;tactile;visual
1;32;CRT;off;little;visual;visual
1;33;CRT;off;index;tactile;visual
1;34;CRT;off;ring;visual;visual
1;35;CRT;off;middle;visual;visual
1;36;CRT;off;little;tactile;visual
1;37;FC;on;6;visual
1;38;FC;on;4;visual
1;39;FC;on;4;tactile
1;40;FC;on;8;tactile
1;41;FC;on;8;visual
1;42;FC;on;6;tactile
1;43;CRT;on;middle;visual;visual
1;44;CRT;on;thumb;visual;visual
1;45;CRT;on;thumb;tactile;tactile
1;46;CRT;on;index;none;tactile
1;47;CRT;on;middle;tactile;visual
1;48;CRT;on;ring;visual;tactile
1;49;CRT;on;index;tactile;visual
1;50;CRT;on;thumb;tactile;visual
1;51;CRT;on;ring;tactile;tactile
1;52;CRT;on;middle;tactile;tactile
1;53;CRT;on;index;none;visual
1;54;CRT;on;little;tactile;visual
1;55;CRT;on;little;tactile;tactile
1;56;CRT;on;ring;none;visual
1;57;CRT;on;index;tactile;tactile
1;58;CRT;on;middle;visual;tactile
1;59;CRT;on;middle;none;visual
1;60;CRT;on;little;visual;tactile
1;61;CRT;on;thumb;visual;tactile
1;62;CRT;on;thumb;none;tactile
1;63;CRT;on;thumb;none;visual
1;64;CRT;on;little;none;tactile
1;65;CRT;on;index;visual;visual
1;66;CRT;on;ring;tactile;visual
1;67;CRT;on;little;none;visual
1;68;CRT;on;index;visual;tactile
1;69;CRT;on;little;visual;visual
1;70;CRT;on;ring;visual;visual
1;71;CRT;on;ring;none;tactile
1;72;CRT;on;middle;none;tactile
